Files already downloaded and verified
Epoch	LearningRate	TrainLoss	TestLoss	TrainAcc.	TestAcc.	EndTime.
1	0.500000	4.037561	3.738248	7.484000	11.570000	03/05 17:51:10
2	0.500000	3.486736	3.231356	16.428000	21.500000	03/05 17:55:08
3	0.500000	2.917922	2.715034	26.692000	32.280000	03/05 17:59:06
4	0.500000	2.378714	2.417891	37.324000	37.920000	03/05 18:03:04
5	0.500000	2.042009	2.012903	44.848000	46.400000	03/05 18:07:03
6	0.500000	1.856125	1.994232	49.270000	47.790000	03/05 18:11:00
7	0.500000	1.711983	1.734735	52.506000	52.940000	03/05 18:14:58
8	0.500000	1.589439	1.722014	55.624000	53.080000	03/05 18:18:55
9	0.500000	1.534535	1.681834	56.958000	54.360000	03/05 18:22:52
10	0.500000	1.488532	1.512003	58.474000	57.930000	03/05 18:26:50
11	0.500000	1.430811	1.582400	59.788000	57.460000	03/05 18:30:47
12	0.500000	1.405419	1.438964	60.254000	59.760000	03/05 18:34:45
13	0.500000	1.350312	1.578113	61.688000	56.530000	03/05 18:38:41
14	0.500000	1.339157	1.477549	62.004000	59.600000	03/05 18:42:38
15	0.500000	1.305716	1.516999	62.562000	58.580000	03/05 18:46:35
16	0.500000	1.290672	1.485292	63.022000	59.900000	03/05 18:50:32
17	0.500000	1.272570	1.488448	63.878000	59.140000	03/05 18:54:29
18	0.500000	1.247701	1.506478	64.318000	59.120000	03/05 18:58:27
19	0.500000	1.252396	1.549714	64.030000	58.760000	03/05 19:02:25
20	0.500000	1.223759	1.449343	65.000000	60.670000	03/05 19:06:22
21	0.500000	1.226498	1.466734	65.012000	60.040000	03/05 19:10:19
22	0.500000	1.213419	1.466300	65.284000	60.080000	03/05 19:14:15
23	0.500000	1.212880	1.451456	65.314000	60.920000	03/05 19:18:11
24	0.500000	1.192761	1.363104	65.654000	62.370000	03/05 19:22:08
25	0.500000	1.187590	1.431247	65.944000	61.190000	03/05 19:26:05
26	0.500000	1.168986	1.441262	66.168000	60.380000	03/05 19:30:02
27	0.500000	1.174751	1.353074	65.898000	62.380000	03/05 19:33:58
28	0.500000	1.173236	1.407247	66.322000	61.820000	03/05 19:37:56
29	0.500000	1.184963	1.293520	65.772000	64.190000	03/05 19:41:53
30	0.500000	1.168013	1.220408	66.538000	64.880000	03/05 19:45:52
31	0.500000	1.177021	1.293189	66.258000	64.300000	03/05 19:49:50
32	0.500000	1.162580	1.409540	66.464000	61.550000	03/05 19:53:48
33	0.500000	1.151304	1.400999	66.770000	62.490000	03/05 19:57:45
34	0.500000	1.146619	1.411427	66.966000	62.190000	03/05 20:01:42
35	0.500000	1.156710	1.267895	66.764000	64.670000	03/05 20:05:40
36	0.500000	1.143716	1.320196	67.148000	63.520000	03/05 20:09:37
37	0.500000	1.132565	1.298622	67.384000	64.340000	03/05 20:13:34
38	0.500000	1.139282	1.326013	67.298000	62.730000	03/05 20:17:31
39	0.500000	1.146429	1.601645	66.860000	58.670000	03/05 20:21:27
40	0.500000	1.140573	1.328320	67.162000	62.970000	03/05 20:25:25
41	0.500000	1.158132	1.337146	66.702000	62.660000	03/05 20:29:22
42	0.500000	1.128588	1.275854	67.432000	64.650000	03/05 20:33:19
43	0.500000	1.139870	1.251820	67.104000	64.620000	03/05 20:37:15
44	0.500000	1.149523	1.459178	67.004000	60.700000	03/05 20:41:12
45	0.500000	1.117929	1.365727	67.794000	62.060000	03/05 20:45:10
46	0.500000	1.135418	1.494392	67.356000	60.150000	03/05 20:49:08
47	0.500000	1.126126	1.230355	67.470000	65.600000	03/05 20:53:04
48	0.500000	1.127168	1.389930	67.472000	63.480000	03/05 20:57:01
49	0.500000	1.113750	1.448801	67.562000	61.440000	03/05 21:00:58
50	0.500000	1.118382	1.244598	67.652000	65.300000	03/05 21:04:55
51	0.500000	1.137614	1.327328	66.880000	63.260000	03/05 21:08:52
52	0.500000	1.146194	1.697864	67.164000	57.190000	03/05 21:12:49
53	0.500000	1.119860	1.178681	67.660000	66.890000	03/05 21:16:45
54	0.500000	1.139664	1.504918	67.196000	60.090000	03/05 21:20:42
55	0.500000	1.132979	1.427028	67.438000	61.840000	03/05 21:24:38
56	0.500000	1.121671	1.201163	67.748000	66.110000	03/05 21:28:35
57	0.500000	1.116020	1.195158	67.946000	65.470000	03/05 21:32:31
58	0.500000	1.123250	1.283115	67.644000	64.450000	03/05 21:36:28
59	0.500000	1.116742	1.271162	67.800000	64.620000	03/05 21:40:25
60	0.500000	1.118900	1.307459	67.604000	63.350000	03/05 21:44:23
61	0.500000	1.119226	1.458967	67.800000	62.610000	03/05 21:48:19
62	0.500000	1.124366	1.456627	67.526000	61.370000	03/05 21:52:16
63	0.500000	1.121193	1.487456	67.818000	60.480000	03/05 21:56:12
64	0.500000	1.114650	1.268508	67.798000	65.310000	03/05 22:00:09
65	0.500000	1.115018	1.343675	67.942000	63.050000	03/05 22:04:06
66	0.500000	1.126700	1.133510	67.520000	66.990000	03/05 22:08:03
67	0.500000	1.129295	1.308396	67.734000	64.180000	03/05 22:11:59
68	0.500000	1.120703	1.217119	67.638000	65.550000	03/05 22:15:56
69	0.500000	1.118960	1.290323	67.828000	64.320000	03/05 22:19:52
70	0.500000	1.107398	1.271454	68.118000	65.010000	03/05 22:23:50
71	0.500000	1.119908	1.216150	67.768000	66.150000	03/05 22:27:46
72	0.500000	1.114556	1.346972	67.938000	63.970000	03/05 22:31:43
73	0.500000	1.105172	1.258269	68.098000	64.500000	03/05 22:35:40
74	0.500000	1.131844	1.309908	67.326000	64.300000	03/05 22:39:37
75	0.500000	1.134876	1.589054	67.288000	60.350000	03/05 22:43:34
76	0.500000	1.088052	1.346134	68.432000	62.810000	03/05 22:47:31
77	0.500000	1.096321	1.218054	68.402000	65.400000	03/05 22:51:27
78	0.500000	1.106443	1.363642	67.904000	62.220000	03/05 22:55:24
79	0.500000	1.124638	1.296240	67.418000	64.200000	03/05 22:59:21
80	0.500000	1.099522	1.290220	68.102000	65.190000	03/05 23:03:18
81	0.500000	1.105855	1.361803	68.104000	63.020000	03/05 23:07:15
82	0.500000	1.110711	1.322938	67.990000	63.440000	03/05 23:11:12
83	0.500000	1.122971	1.183929	67.624000	66.730000	03/05 23:15:08
84	0.500000	1.111696	1.244819	67.868000	65.710000	03/05 23:19:05
85	0.500000	1.107689	1.234433	68.132000	65.730000	03/05 23:23:02
86	0.500000	1.111953	1.221547	68.032000	65.200000	03/05 23:26:59
87	0.500000	1.105074	1.218176	68.074000	65.440000	03/05 23:30:55
88	0.500000	1.102205	1.233768	68.190000	65.660000	03/05 23:34:52
89	0.500000	1.122542	1.421443	67.582000	61.810000	03/05 23:38:47
90	0.500000	1.109744	1.271109	68.082000	64.940000	03/05 23:42:44
